Symbol,Date,Close
MSFT,1/2/2019,101.12
MSFT,1/3/2019,97.4
MSFT,1/4/2019,101.93
MSFT,1/7/2019,102.06
MSFT,1/8/2019,102.8
MSFT,1/9/2019,104.27
MSFT,1/10/2019,103.6
MSFT,1/11/2019,102.8
MSFT,1/14/2019,102.05
MSFT,1/15/2019,105.01
MSFT,1/16/2019,105.38
MSFT,1/17/2019,106.12
MSFT,1/18/2019,107.71
MSFT,1/22/2019,105.68
MSFT,1/23/2019,106.71
MSFT,1/24/2019,106.2
MSFT,1/25/2019,107.17
MSFT,1/28/2019,105.08
MSFT,1/29/2019,102.94
MSFT,1/30/2019,106.38
MSFT,1/31/2019,104.43
MSFT,2/1/2019,102.78
MSFT,2/4/2019,105.74
MSFT,2/5/2019,107.22
MSFT,2/6/2019,106.03
MSFT,2/7/2019,105.27
MSFT,2/8/2019,105.67
MSFT,2/11/2019,105.25
MSFT,2/12/2019,106.89
MSFT,2/13/2019,106.81
MSFT,2/14/2019,106.9
MSFT,2/15/2019,108.22
MSFT,2/19/2019,108.17
MSFT,2/20/2019,107.15
MSFT,2/21/2019,109.41
MSFT,2/22/2019,110.97
MSFT,2/25/2019,111.59
MSFT,2/26/2019,112.36
MSFT,2/27/2019,112.17
MSFT,2/28/2019,112.03
MSFT,3/1/2019,112.53
MSFT,3/4/2019,112.26
MSFT,3/5/2019,111.7
MSFT,3/6/2019,111.75
MSFT,3/7/2019,110.39
MSFT,3/8/2019,110.51
MSFT,3/11/2019,112.83
MSFT,3/12/2019,113.62
MSFT,3/13/2019,114.5
MSFT,3/14/2019,114.59
MSFT,3/15/2019,115.91
MSFT,3/18/2019,117.57
MSFT,3/19/2019,117.65
MSFT,3/20/2019,117.52
MSFT,3/21/2019,120.22
MSFT,3/22/2019,117.05
MSFT,3/25/2019,117.66
MSFT,3/26/2019,117.91
MSFT,3/27/2019,116.77
MSFT,3/28/2019,116.93
MSFT,3/29/2019,117.94
MSFT,4/1/2019,119.02
MSFT,4/2/2019,119.19
MSFT,4/3/2019,119.97
MSFT,4/4/2019,119.36
MSFT,4/5/2019,119.89
MSFT,4/8/2019,119.93
MSFT,4/9/2019,119.28
MSFT,4/10/2019,120.19
MSFT,4/11/2019,120.33
MSFT,4/12/2019,120.95
MSFT,4/15/2019,121.05
MSFT,4/16/2019,120.77
MSFT,4/17/2019,121.77
MSFT,4/18/2019,123.37
MSFT,4/22/2019,123.76
MSFT,4/23/2019,125.44
MSFT,4/24/2019,125.01
MSFT,4/25/2019,129.15
MSFT,4/26/2019,129.89
MSFT,4/29/2019,129.77
MSFT,4/30/2019,130.6
MSFT,5/1/2019,127.88
MSFT,5/2/2019,126.21
MSFT,5/3/2019,128.9
MSFT,5/6/2019,128.15
MSFT,5/7/2019,125.52
MSFT,5/8/2019,125.51
MSFT,5/9/2019,125.5
MSFT,5/10/2019,127.13
MSFT,5/13/2019,123.35
MSFT,5/14/2019,124.73
MSFT,5/15/2019,126.02
MSFT,5/16/2019,128.93
MSFT,5/17/2019,128.07
MSFT,5/20/2019,126.22
MSFT,5/21/2019,126.9
MSFT,5/22/2019,127.67
MSFT,5/23/2019,126.18
MSFT,5/24/2019,126.24
MSFT,5/28/2019,126.16
MSFT,5/29/2019,124.94
MSFT,5/30/2019,125.73
MSFT,5/31/2019,123.68
MSFT,6/3/2019,119.84
MSFT,6/4/2019,123.16
MSFT,6/5/2019,125.83
MSFT,6/6/2019,127.82
MSFT,6/7/2019,131.4
MSFT,6/10/2019,132.6
MSFT,6/11/2019,132.1
MSFT,6/12/2019,131.49
MSFT,6/13/2019,132.32
MSFT,6/14/2019,132.45
MSFT,6/17/2019,132.85
MSFT,6/18/2019,135.16
MSFT,6/19/2019,135.69
MSFT,6/20/2019,136.95
MSFT,6/21/2019,136.97
MSFT,6/24/2019,137.78
MSFT,6/25/2019,133.43
MSFT,6/26/2019,133.93
MSFT,6/27/2019,134.15
MSFT,6/28/2019,133.96
MSFT,7/1/2019,135.68
MSFT,7/2/2019,136.58
MSFT,7/3/2019,137.46
MSFT,7/5/2019,137.06
MSFT,7/8/2019,136.96
MSFT,7/9/2019,136.46
MSFT,7/10/2019,137.85
MSFT,7/11/2019,138.4
MSFT,7/12/2019,138.9
MSFT,7/15/2019,138.9
MSFT,7/16/2019,137.08
MSFT,7/17/2019,136.27
MSFT,7/18/2019,136.42
MSFT,7/19/2019,136.62
MSFT,7/22/2019,138.43
MSFT,7/23/2019,139.29
MSFT,7/24/2019,140.72
MSFT,7/25/2019,140.19
MSFT,7/26/2019,141.34
MSFT,7/29/2019,141.03
MSFT,7/30/2019,140.35
MSFT,7/31/2019,136.27
MSFT,8/1/2019,138.06
MSFT,8/2/2019,136.9
MSFT,8/5/2019,132.21
MSFT,8/6/2019,134.69
MSFT,8/7/2019,135.28
MSFT,8/8/2019,138.89
MSFT,8/9/2019,137.71
MSFT,8/12/2019,135.79
MSFT,8/13/2019,138.6
MSFT,8/14/2019,133.98
MSFT,8/15/2019,133.68
MSFT,8/16/2019,136.13
MSFT,8/19/2019,138.41
MSFT,8/20/2019,137.26
MSFT,8/21/2019,138.79
MSFT,8/22/2019,137.78
MSFT,8/23/2019,133.39
MSFT,8/26/2019,135.45
MSFT,8/27/2019,135.74
MSFT,8/28/2019,135.56
MSFT,8/29/2019,138.12
MSFT,8/30/2019,137.86
MSFT,9/3/2019,136.04
MSFT,9/4/2019,137.63
MSFT,9/5/2019,140.05
MSFT,9/6/2019,139.1
MSFT,9/9/2019,137.52
MSFT,9/10/2019,136.08
MSFT,9/11/2019,136.12
MSFT,9/12/2019,137.52
MSFT,9/13/2019,137.32
MSFT,9/16/2019,136.33
MSFT,9/17/2019,137.39
MSFT,9/18/2019,138.52
MSFT,9/19/2019,141.07
MSFT,9/20/2019,139.44
MSFT,9/23/2019,139.14
MSFT,9/24/2019,137.38
MSFT,9/25/2019,139.36
MSFT,9/26/2019,139.54
MSFT,9/27/2019,137.73
MSFT,9/30/2019,139.03
MSFT,10/1/2019,137.07
MSFT,10/2/2019,134.65
MSFT,10/3/2019,136.28
MSFT,10/4/2019,138.12
MSFT,10/7/2019,137.12
MSFT,10/8/2019,135.67
MSFT,10/9/2019,138.24
MSFT,10/10/2019,139.1
MSFT,10/11/2019,139.68
MSFT,10/14/2019,139.55
MSFT,10/15/2019,141.57
MSFT,10/16/2019,140.41
MSFT,10/17/2019,139.69
MSFT,10/18/2019,137.41
MSFT,10/21/2019,138.43
MSFT,10/22/2019,136.37
MSFT,10/23/2019,137.24
MSFT,10/24/2019,139.94
MSFT,10/25/2019,140.73
MSFT,10/28/2019,144.19
MSFT,10/29/2019,142.83
MSFT,10/30/2019,144.61
MSFT,10/31/2019,143.37
MSFT,11/1/2019,143.72
MSFT,11/4/2019,144.55
MSFT,11/5/2019,144.46
MSFT,11/6/2019,144.06
MSFT,11/7/2019,144.26
MSFT,11/8/2019,145.96
MSFT,11/11/2019,146.11
MSFT,11/12/2019,147.07
MSFT,11/13/2019,147.31
MSFT,11/14/2019,148.06
MSFT,11/15/2019,149.97
MSFT,11/18/2019,150.34
MSFT,11/19/2019,150.39
MSFT,11/20/2019,149.62
MSFT,11/21/2019,149.48
MSFT,11/22/2019,149.59
MSFT,11/25/2019,151.23
MSFT,11/26/2019,152.03
MSFT,11/27/2019,152.32
MSFT,11/29/2019,151.38
MSFT,12/2/2019,149.55
MSFT,12/3/2019,149.31
MSFT,12/4/2019,149.85
MSFT,12/5/2019,149.93
MSFT,12/6/2019,151.75
MSFT,12/9/2019,151.75
MSFT,12/10/2019,151.13
MSFT,12/11/2019,151.7
MSFT,12/12/2019,153.24
MSFT,12/13/2019,154.53
MSFT,12/16/2019,155.53
MSFT,12/17/2019,154.69
MSFT,12/18/2019,154.37
MSFT,12/19/2019,155.71
MSFT,12/20/2019,157.41
MSFT,12/23/2019,157.41
MSFT,12/24/2019,157.38
MSFT,12/26/2019,158.67
MSFT,12/27/2019,158.96
MSFT,12/30/2019,157.59
MSFT,12/31/2019,157.7
MSFT,1/2/2020,160.62
MSFT,1/3/2020,158.62
MSFT,1/6/2020,159.03
MSFT,1/7/2020,157.58
MSFT,1/8/2020,160.09
MSFT,1/9/2020,162.09
MSFT,1/10/2020,161.34
MSFT,1/13/2020,163.28
MSFT,1/14/2020,162.13
MSFT,1/15/2020,163.18
MSFT,1/16/2020,166.17
MSFT,1/17/2020,167.1
MSFT,1/21/2020,166.5
MSFT,1/22/2020,165.7
MSFT,1/23/2020,166.72
MSFT,1/24/2020,165.04
MSFT,1/27/2020,162.28
MSFT,1/28/2020,165.46
MSFT,1/29/2020,168.04
MSFT,1/30/2020,172.78
MSFT,1/31/2020,170.23
MSFT,2/3/2020,174.38
MSFT,2/4/2020,180.12
MSFT,2/5/2020,179.9
MSFT,2/6/2020,183.63
MSFT,2/7/2020,183.89
MSFT,2/10/2020,188.7
MSFT,2/11/2020,184.44
MSFT,2/12/2020,184.71
MSFT,2/13/2020,183.71
MSFT,2/14/2020,185.35
MSFT,2/18/2020,187.23
MSFT,2/19/2020,187.28
MSFT,2/20/2020,184.42
MSFT,2/21/2020,178.59
MSFT,2/24/2020,170.89
MSFT,2/25/2020,168.07
MSFT,2/26/2020,170.17
MSFT,2/27/2020,158.18
MSFT,2/28/2020,162.01
MSFT,3/2/2020,172.79
MSFT,3/3/2020,164.51
MSFT,3/4/2020,170.55
MSFT,3/5/2020,166.27
MSFT,3/6/2020,161.57
MSFT,3/9/2020,150.62
MSFT,3/10/2020,160.92
MSFT,3/11/2020,153.63
MSFT,3/12/2020,139.06
MSFT,3/13/2020,158.83
MSFT,3/16/2020,135.42
MSFT,3/17/2020,146.57
MSFT,3/18/2020,140.4
MSFT,3/19/2020,142.71
MSFT,3/20/2020,137.35
MSFT,3/23/2020,135.98
MSFT,3/24/2020,148.34
MSFT,3/25/2020,146.92
MSFT,3/26/2020,156.11
MSFT,3/27/2020,149.7
MSFT,3/30/2020,160.23
MSFT,3/31/2020,157.71
MSFT,4/1/2020,152.11
MSFT,4/2/2020,155.26
MSFT,4/3/2020,153.83
MSFT,4/6/2020,165.27
MSFT,4/7/2020,163.49
MSFT,4/8/2020,165.13
MSFT,4/9/2020,165.14
MSFT,4/13/2020,165.51
MSFT,4/14/2020,173.7
MSFT,4/15/2020,171.88
MSFT,4/16/2020,177.04
MSFT,4/17/2020,178.6
MSFT,4/20/2020,175.06
MSFT,4/21/2020,167.82
MSFT,4/22/2020,173.52
MSFT,4/23/2020,171.42
MSFT,4/24/2020,174.55
MSFT,4/27/2020,174.05
MSFT,4/28/2020,169.81
MSFT,4/29/2020,177.43
MSFT,4/30/2020,179.21
MSFT,5/1/2020,174.57
MSFT,5/4/2020,178.84
MSFT,5/5/2020,180.76
MSFT,5/6/2020,182.54
MSFT,5/7/2020,183.6
MSFT,5/8/2020,184.68
MSFT,5/11/2020,186.74
MSFT,5/12/2020,182.51
MSFT,5/13/2020,179.75
MSFT,5/14/2020,180.53
MSFT,5/15/2020,183.16
MSFT,5/18/2020,184.91
MSFT,5/19/2020,183.63
MSFT,5/20/2020,185.66
MSFT,5/21/2020,183.43
MSFT,5/22/2020,183.51
MSFT,5/26/2020,181.57
MSFT,5/27/2020,181.81
MSFT,5/28/2020,181.4
MSFT,5/29/2020,183.25
MSFT,6/1/2020,182.83
MSFT,6/2/2020,184.91
MSFT,6/3/2020,185.36
MSFT,6/4/2020,182.92
MSFT,6/5/2020,187.2
MSFT,6/8/2020,188.36
MSFT,6/9/2020,189.8
MSFT,6/10/2020,196.84
